Bacterium,Pathway,Value
Clostridium acetobutylicum DSM 1731,map00254,0.06
Clostridium acetobutylicum DSM 1731,map00260,5.26
Clostridium acetobutylicum DSM 1731,map00261,0.86
Clostridium acetobutylicum DSM 1731,map00270,9.9
Clostridium acetobutylicum DSM 1731,map00280,3.86
Clostridium acetobutylicum DSM 1731,map00281,0.59
Clostridium acetobutylicum DSM 1731,map00290,3.93
Clostridium acetobutylicum DSM 1731,map00300,2.85
Clostridium acetobutylicum DSM 1731,map00310,3.28
Clostridium acetobutylicum DSM 1731,map00311,0.73
Clostridium acetobutylicum DSM 1731,map00330,3.42
Clostridium acetobutylicum DSM 1731,map00332,1.1
Clostridium acetobutylicum DSM 1731,map00340,5.08
Clostridium acetobutylicum DSM 1731,map00350,1.17
Clostridium acetobutylicum DSM 1731,map00360,4.01
Clostridium acetobutylicum DSM 1731,map00361,0.72
Clostridium acetobutylicum DSM 1731,map00362,1.92
Clostridium acetobutylicum DSM 1731,map00363,0.68
Clostridium acetobutylicum DSM 1731,map00380,0.75
Clostridium acetobutylicum DSM 1731,map00400,2.85
Clostridium acetobutylicum DSM 1731,map00401,0.76
Clostridium acetobutylicum DSM 1731,map00405,0.26
Clostridium acetobutylicum DSM 1731,map00410,2.46
Clostridium acetobutylicum DSM 1731,map00430,0.28
Clostridium acetobutylicum DSM 1731,map00450,4.09
Clostridium acetobutylicum DSM 1731,map00460,1.04
Clostridium acetobutylicum DSM 1731,map00480,1.93
Clostridium acetobutylicum DSM 1731,map00500,17.32
Clostridium acetobutylicum DSM 1731,map00510,0.96
Clostridium acetobutylicum DSM 1731,map00511,2.46
Clostridium acetobutylicum DSM 1731,map00513,0.79
Clostridium acetobutylicum DSM 1731,map00520,15.72
Clostridium acetobutylicum DSM 1731,map00521,2.59
Clostridium acetobutylicum DSM 1731,map00523,2.5
Clostridium acetobutylicum DSM 1731,map00524,0.08
Clostridium acetobutylicum DSM 1731,map00525,1.17
Clostridium acetobutylicum DSM 1731,map00531,1.58
Clostridium acetobutylicum DSM 1731,map00540,3.31
Clostridium acetobutylicum DSM 1731,map00541,8.24
Clostridium acetobutylicum DSM 1731,map00550,1.47
Clostridium acetobutylicum DSM 1731,map00561,4.55
Clostridium acetobutylicum DSM 1731,map00562,0.77
Clostridium acetobutylicum DSM 1731,map00564,5.68
Clostridium acetobutylicum DSM 1731,map00565,0.76
Clostridium acetobutylicum DSM 1731,map00572,0.58
Clostridium acetobutylicum DSM 1731,map00590,0.8
Clostridium acetobutylicum DSM 1731,map00592,1.17
Clostridium acetobutylicum DSM 1731,map00600,0.79
Clostridium acetobutylicum DSM 1731,map00603,0.79
Clostridium acetobutylicum DSM 1731,map00604,1.58
Clostridium acetobutylicum DSM 1731,map00620,9.59
Clostridium acetobutylicum DSM 1731,map00621,0.61
Clostridium acetobutylicum DSM 1731,map00622,0.61
Clostridium acetobutylicum DSM 1731,map00625,2.14
Clostridium acetobutylicum DSM 1731,map00626,0.58
Clostridium acetobutylicum DSM 1731,map00627,2.07
Clostridium acetobutylicum DSM 1731,map00630,3.72
Clostridium acetobutylicum DSM 1731,map00633,1.52
Clostridium acetobutylicum DSM 1731,map00640,6.03
Clostridium acetobutylicum DSM 1731,map00650,10.55
Clostridium acetobutylicum DSM 1731,map00660,2.8
Clostridium acetobutylicum DSM 1731,map00670,4.05
Clostridium acetobutylicum DSM 1731,map00730,4.35
Clostridium acetobutylicum DSM 1731,map00740,1.38
Clostridium acetobutylicum DSM 1731,map00750,1.41
Clostridium acetobutylicum DSM 1731,map00760,3.08
Clostridium acetobutylicum DSM 1731,map00770,2.97
Clostridium acetobutylicum DSM 1731,map00780,0.74
Clostridium acetobutylicum DSM 1731,map00790,4.26
Clostridium acetobutylicum DSM 1731,map00830,0.58
Clostridium acetobutylicum DSM 1731,map00860,19.07
Clostridium acetobutylicum DSM 1731,map00900,1.43
Clostridium acetobutylicum DSM 1731,map00903,0.59
Clostridium acetobutylicum DSM 1731,map00908,0.01
Clostridium acetobutylicum DSM 1731,map00930,0.59
Clostridium acetobutylicum DSM 1731,map00940,0.82
Clostridium acetobutylicum DSM 1731,map00950,0.04
Clostridium acetobutylicum DSM 1731,map00960,0.59
Clostridium acetobutylicum DSM 1731,map00966,0.03
Clostridium acetobutylicum DSM 1731,map00980,0.58
Clostridium acetobutylicum DSM 1731,map00982,0.58
Clostridium acetobutylicum DSM 1731,map00983,2.83
Clostridium acetobutylicum DSM 1731,map01040,0.68
Clostridium acetobutylicum DSM 1731,map01051,0.01
Clostridium acetobutylicum DSM 1731,map01055,0.59
Clostridium acetobutylicum EA 2018,map00010,6.93
Clostridium acetobutylicum EA 2018,map00020,2.9
Clostridium acetobutylicum EA 2018,map00030,7.88
Clostridium acetobutylicum EA 2018,map00040,7.6
Clostridium acetobutylicum EA 2018,map00051,9.03
Clostridium acetobutylicum EA 2018,map00052,11.15
Clostridium acetobutylicum EA 2018,map00053,0.7
Clostridium acetobutylicum EA 2018,map00061,0.25
Clostridium acetobutylicum EA 2018,map00062,1.28
Clostridium acetobutylicum EA 2018,map00071,2.91
Clostridium acetobutylicum EA 2018,map00130,0.84
Clostridium acetobutylicum EA 2018,map00220,5.24
Clostridium acetobutylicum EA 2018,map00230,12.97
Clostridium acetobutylicum EA 2018,map00240,7.58
Clostridium acetobutylicum EA 2018,map00250,4.74
Clostridium acetobutylicum EA 2018,map00254,0.06
Clostridium acetobutylicum EA 2018,map00260,4.57
Clostridium acetobutylicum EA 2018,map00261,0.86
Clostridium acetobutylicum EA 2018,map00270,7.91
Clostridium acetobutylicum EA 2018,map00280,3.86
Clostridium acetobutylicum EA 2018,map00281,0.59
Clostridium acetobutylicum EA 2018,map00290,3.93
Clostridium acetobutylicum EA 2018,map00300,2.85
Clostridium acetobutylicum EA 2018,map00310,3.28
Clostridium acetobutylicum EA 2018,map00311,0.73
Clostridium acetobutylicum EA 2018,map00330,3.42
Clostridium acetobutylicum EA 2018,map00332,1.1
Clostridium acetobutylicum EA 2018,map00340,5.08
Clostridium acetobutylicum EA 2018,map00350,1.17
Clostridium acetobutylicum EA 2018,map00360,4.01
Clostridium acetobutylicum EA 2018,map00361,0.72
Clostridium acetobutylicum EA 2018,map00362,1.92
Clostridium acetobutylicum EA 2018,map00363,0.68
Clostridium acetobutylicum EA 2018,map00380,0.75
Clostridium acetobutylicum EA 2018,map00400,2.85
Clostridium acetobutylicum EA 2018,map00401,0.76
Clostridium acetobutylicum EA 2018,map00405,0.26
Clostridium acetobutylicum EA 2018,map00410,2.46
Clostridium acetobutylicum EA 2018,map00430,0.28
Clostridium acetobutylicum EA 2018,map00450,3.1
Clostridium acetobutylicum EA 2018,map00460,1.04
Clostridium acetobutylicum EA 2018,map00480,1.93
Clostridium acetobutylicum EA 2018,map00500,17.32
Clostridium acetobutylicum EA 2018,map00510,0.96
Clostridium acetobutylicum EA 2018,map00511,2.46
Clostridium acetobutylicum EA 2018,map00513,0.79
Clostridium acetobutylicum EA 2018,map00520,15.72
Clostridium acetobutylicum EA 2018,map00521,2.59
Clostridium acetobutylicum EA 2018,map00523,2.5
Clostridium acetobutylicum EA 2018,map00524,0.08
Clostridium acetobutylicum EA 2018,map00525,1.17
Clostridium acetobutylicum EA 2018,map00531,1.58
Clostridium acetobutylicum EA 2018,map00540,3.31
Clostridium acetobutylicum EA 2018,map00541,8.24
Clostridium acetobutylicum EA 2018,map00550,1.47
Clostridium acetobutylicum EA 2018,map00561,4.55
Clostridium acetobutylicum EA 2018,map00562,0.77
Clostridium acetobutylicum EA 2018,map00564,5.68
Clostridium acetobutylicum EA 2018,map00565,0.76
Clostridium acetobutylicum EA 2018,map00572,0.58
Clostridium acetobutylicum EA 2018,map00590,0.8
Clostridium acetobutylicum EA 2018,map00592,1.17
Clostridium acetobutylicum EA 2018,map00600,0.79
Clostridium acetobutylicum EA 2018,map00603,0.79
Clostridium acetobutylicum EA 2018,map00604,1.58
Clostridium acetobutylicum EA 2018,map00620,9.59
Clostridium acetobutylicum EA 2018,map00621,0.61
Clostridium acetobutylicum EA 2018,map00622,0.61
Clostridium acetobutylicum EA 2018,map00625,2.14
Clostridium acetobutylicum EA 2018,map00626,0.58
Clostridium acetobutylicum EA 2018,map00627,2.07
Clostridium acetobutylicum EA 2018,map00630,3.72
Clostridium acetobutylicum EA 2018,map00633,1.52
Clostridium acetobutylicum EA 2018,map00640,6.03
Clostridium acetobutylicum EA 2018,map00650,10.55
Clostridium acetobutylicum EA 2018,map00660,2.8
Clostridium acetobutylicum EA 2018,map00670,4.05
Clostridium acetobutylicum EA 2018,map00730,4.35
Clostridium acetobutylicum EA 2018,map00740,1.38
Clostridium acetobutylicum EA 2018,map00750,1.41
Clostridium acetobutylicum EA 2018,map00760,3.08
Clostridium acetobutylicum EA 2018,map00770,2.97
Clostridium acetobutylicum EA 2018,map00780,0.74
Clostridium acetobutylicum EA 2018,map00790,4.26
Clostridium acetobutylicum EA 2018,map00830,0.58
Clostridium acetobutylicum EA 2018,map00860,19.07
Clostridium acetobutylicum EA 2018,map00900,1.43
Clostridium acetobutylicum EA 2018,map00903,0.59
Clostridium acetobutylicum EA 2018,map00908,0.01
Clostridium acetobutylicum EA 2018,map00930,0.59
Clostridium acetobutylicum EA 2018,map00940,0.82
Clostridium acetobutylicum EA 2018,map00950,0.04
Clostridium acetobutylicum EA 2018,map00960,0.59
Clostridium acetobutylicum EA 2018,map00966,0.03
Clostridium acetobutylicum EA 2018,map00980,0.58
Clostridium acetobutylicum EA 2018,map00982,0.58
Clostridium acetobutylicum EA 2018,map00983,2.83
Clostridium acetobutylicum EA 2018,map01040,0.68
Clostridium acetobutylicum EA 2018,map01051,0.01
Clostridium acetobutylicum EA 2018,map01055,0.59
Clostridium argentinense,map00010,8.63
Clostridium argentinense,map00020,2.2
Clostridium argentinense,map00030,5.64
Clostridium argentinense,map00040,0.44
Clostridium argentinense,map00051,2.46
Clostridium argentinense,map00052,2.93
Clostridium argentinense,map00053,0.72
Clostridium argentinense,map00061,0.25
Clostridium argentinense,map00062,1.28
Clostridium argentinense,map00071,2.65
Clostridium argentinense,map00130,1.81
Clostridium argentinense,map00220,5.34
Clostridium argentinense,map00230,17.01
Clostridium argentinense,map00240,11.7
Clostridium argentinense,map00250,5.4
Clostridium argentinense,map00254,0.06
Clostridium argentinense,map00260,9.69
Clostridium argentinense,map00261,0.97
Clostridium argentinense,map00270,8.37
Clostridium argentinense,map00280,2.85
Clostridium argentinense,map00281,0.59
Clostridium argentinense,map00290,0.55
Clostridium argentinense,map00300,1.36
Clostridium argentinense,map00310,8.64
Clostridium argentinense,map00311,0.73
Clostridium argentinense,map00330,9.35
Clostridium argentinense,map00332,1.1
Clostridium argentinense,map00340,6.64
Clostridium argentinense,map00350,1.44
Clostridium argentinense,map00360,3.44
Clostridium argentinense,map00361,0.72
Clostridium argentinense,map00362,1.92
Clostridium argentinense,map00363,0.68
Clostridium argentinense,map00380,3.93
Clostridium argentinense,map00400,0.32
Clostridium argentinense,map00401,0.04
Clostridium argentinense,map00410,3.37
Clostridium argentinense,map00430,0.76
Clostridium argentinense,map00440,2.82
Clostridium argentinense,map00450,3.57
Clostridium argentinense,map00460,0.94
Clostridium argentinense,map00480,0.5
Clostridium argentinense,map00500,1.51
Clostridium argentinense,map00511,1.67
Clostridium argentinense,map00513,0.79
Clostridium argentinense,map00520,7.31
Clostridium argentinense,map00521,1.29
Clostridium argentinense,map00523,1.28
Clostridium argentinense,map00525,0.58
Clostridium argentinense,map00531,0.79
Clostridium argentinense,map00541,5.43
Clostridium argentinense,map00550,1.47
Clostridium argentinense,map00561,4.39
Clostridium argentinense,map00562,0.77
Clostridium argentinense,map00564,4.61
Clostridium argentinense,map00565,0.76
Clostridium argentinense,map00572,0.58
Clostridium argentinense,map00592,1.17
Clostridium argentinense,map00603,0.79
Clostridium argentinense,map00604,0.79
Clostridium argentinense,map00620,10.51
Clostridium argentinense,map00621,0.61
Clostridium argentinense,map00622,0.61
Clostridium argentinense,map00625,2.01
Clostridium argentinense,map00626,0.58
Clostridium argentinense,map00627,1.35
Clostridium argentinense,map00630,6.34
Clostridium argentinense,map00633,0.72
Clostridium argentinense,map00640,4.95
Clostridium argentinense,map00643,0.8
Clostridium argentinense,map00650,8.81
Clostridium argentinense,map00660,1.83
Clostridium argentinense,map00670,4.2
Clostridium argentinense,map00730,2.66
Clostridium argentinense,map00740,1.42
Clostridium argentinense,map00750,1.35
Clostridium argentinense,map00760,2.3
Clostridium argentinense,map00770,2.48
Clostridium argentinense,map00780,0.12
Clostridium argentinense,map00785,1.7
Clostridium argentinense,map00790,5.06
Clostridium argentinense,map00830,0.58
Clostridium argentinense,map00860,18.26
Clostridium argentinense,map00900,0.94
Clostridium argentinense,map00903,1.31
Clostridium argentinense,map00908,0.01
Clostridium argentinense,map00930,0.59
Clostridium argentinense,map00950,0.86
Clostridium argentinense,map00960,0.04
Clostridium argentinense,map00966,0.03
Clostridium argentinense,map00980,0.58
Clostridium argentinense,map00981,0.72
Clostridium argentinense,map00982,1.4
Clostridium argentinense,map00983,3.95
Clostridium argentinense,map01040,0.68
Clostridium argentinense,map01051,0.01
Clostridium argentinense,map01055,0.9
Clostridium autoethanogenum,map00010,4.8
Clostridium autoethanogenum,map00020,5.24
Clostridium autoethanogenum,map00030,5.43
Clostridium autoethanogenum,map00040,9.3
Clostridium autoethanogenum,map00051,6.89
Clostridium autoethanogenum,map00052,2.19
Clostridium autoethanogenum,map00053,2.45
Clostridium autoethanogenum,map00061,0.25
Clostridium autoethanogenum,map00062,0.68
Clostridium autoethanogenum,map00071,0.74
Clostridium autoethanogenum,map00130,1.76
Clostridium autoethanogenum,map00220,7.73
Clostridium autoethanogenum,map00230,14.92
Clostridium autoethanogenum,map00240,8.02
Clostridium autoethanogenum,map00250,5.75
Clostridium autoethanogenum,map00254,0.06
Clostridium autoethanogenum,map00260,7.0
Clostridium autoethanogenum,map00261,0.97
Clostridium autoethanogenum,map00270,6.22
Clostridium autoethanogenum,map00280,1.8
Clostridium autoethanogenum,map00290,4.45
Clostridium autoethanogenum,map00300,3.62
Clostridium autoethanogenum,map00310,2.69
Clostridium autoethanogenum,map00311,0.73
Clostridium autoethanogenum,map00330,4.44
Clostridium autoethanogenum,map00332,1.1
Clostridium autoethanogenum,map00340,10.67
Clostridium autoethanogenum,map00350,2.13
Clostridium autoethanogenum,map00360,5.29
Clostridium autoethanogenum,map00362,3.12
Clostridium autoethanogenum,map00363,0.68
Clostridium autoethanogenum,map00380,0.9
Clostridium autoethanogenum,map00400,2.85
Clostridium autoethanogenum,map00401,0.76
Clostridium autoethanogenum,map00405,0.26
Clostridium autoethanogenum,map00410,3.91
Clostridium autoethanogenum,map00430,1.68
Clostridium autoethanogenum,map00450,2.51
Clostridium autoethanogenum,map00460,0.55
Clostridium autoethanogenum,map00480,3.09
Clostridium autoethanogenum,map00500,0.22
Clostridium autoethanogenum,map00511,0.88
Clostridium autoethanogenum,map00520,8.34
Clostridium autoethanogenum,map00521,2.59
Clostridium autoethanogenum,map00523,2.5
Clostridium autoethanogenum,map00524,0.08
Clostridium autoethanogenum,map00525,1.17
Clostridium autoethanogenum,map00534,0.97
Clostridium autoethanogenum,map00541,9.75
Clostridium autoethanogenum,map00550,1.47
Clostridium autoethanogenum,map00561,3.14
Clostridium autoethanogenum,map00562,0.77
Clostridium autoethanogenum,map00564,3.16
Clostridium autoethanogenum,map00565,0.76
Clostridium autoethanogenum,map00572,0.58
Clostridium autoethanogenum,map00592,0.58
Clostridium autoethanogenum,map00620,9.03
Clostridium autoethanogenum,map00621,1.61
Clostridium autoethanogenum,map00622,2.57
Clostridium autoethanogenum,map00623,0.96
Clostridium autoethanogenum,map00625,1.42
Clostridium autoethanogenum,map00626,0.58
Clostridium autoethanogenum,map00627,0.89
Clostridium autoethanogenum,map00630,4.98
Clostridium autoethanogenum,map00633,1.52
