Bacterium,Pathway,Value
Helicobacter typhlonius,map00121,1.0
Helicobacter typhlonius,map00130,9.0
Helicobacter typhlonius,map00220,11.0
Helicobacter typhlonius,map00230,14.67
Helicobacter typhlonius,map00240,8.33
Helicobacter typhlonius,map00250,13.0
Helicobacter typhlonius,map00254,1.0
Helicobacter typhlonius,map00260,10.67
Helicobacter typhlonius,map00261,2.67
Helicobacter typhlonius,map00270,15.33
Helicobacter typhlonius,map00280,1.0
Helicobacter typhlonius,map00290,9.0
Helicobacter typhlonius,map00300,9.0
Helicobacter typhlonius,map00310,1.0
Helicobacter typhlonius,map00330,9.33
Helicobacter typhlonius,map00332,1.67
Helicobacter typhlonius,map00340,9.0
Helicobacter typhlonius,map00350,1.67
Helicobacter typhlonius,map00360,1.67
Helicobacter typhlonius,map00362,0.67
Helicobacter typhlonius,map00380,1.0
Helicobacter typhlonius,map00400,15.33
Helicobacter typhlonius,map00401,2.67
Helicobacter typhlonius,map00405,1.0
Helicobacter typhlonius,map00410,2.0
Helicobacter typhlonius,map00430,1.0
Helicobacter typhlonius,map00450,4.33
Helicobacter typhlonius,map00460,1.33
Helicobacter typhlonius,map00480,3.33
Helicobacter typhlonius,map00500,1.67
Helicobacter typhlonius,map00520,18.0
Helicobacter typhlonius,map00521,1.33
Helicobacter typhlonius,map00540,20.0
Helicobacter typhlonius,map00541,13.33
Helicobacter typhlonius,map00550,4.33
Helicobacter typhlonius,map00561,4.67
Helicobacter typhlonius,map00562,1.0
Helicobacter typhlonius,map00564,10.0
Helicobacter typhlonius,map00565,1.0
Helicobacter typhlonius,map00590,1.0
Helicobacter typhlonius,map00591,1.0
Helicobacter typhlonius,map00592,2.0
Helicobacter typhlonius,map00620,14.67
Helicobacter typhlonius,map00627,1.0
Helicobacter typhlonius,map00630,8.0
Helicobacter typhlonius,map00633,0.67
Helicobacter typhlonius,map00640,6.67
Helicobacter typhlonius,map00650,3.33
Helicobacter typhlonius,map00660,3.0
Helicobacter typhlonius,map00670,5.0
Helicobacter typhlonius,map00730,7.67
Helicobacter typhlonius,map00740,7.33
Helicobacter typhlonius,map00750,2.67
Helicobacter typhlonius,map00760,7.0
Helicobacter typhlonius,map00770,11.67
Helicobacter typhlonius,map00780,10.67
Helicobacter typhlonius,map00790,17.0
Helicobacter typhlonius,map00860,10.33
Helicobacter typhlonius,map00900,13.33
Helicobacter typhlonius,map00908,0.33
Helicobacter typhlonius,map00930,1.0
Helicobacter typhlonius,map00950,0.67
Helicobacter typhlonius,map00960,1.67
Helicobacter typhlonius,map00966,1.0
Helicobacter typhlonius,map00983,2.67
Helicobacter typhlonius,map01051,0.33
Lachnospiraceae bacterium oral taxon 500,map00010,14.33
Lachnospiraceae bacterium oral taxon 500,map00020,6.33
Lachnospiraceae bacterium oral taxon 500,map00030,14.0
Lachnospiraceae bacterium oral taxon 500,map00040,15.0
Lachnospiraceae bacterium oral taxon 500,map00051,11.33
Lachnospiraceae bacterium oral taxon 500,map00052,11.67
Lachnospiraceae bacterium oral taxon 500,map00053,5.0
Lachnospiraceae bacterium oral taxon 500,map00061,1.67
Lachnospiraceae bacterium oral taxon 500,map00062,1.0
Lachnospiraceae bacterium oral taxon 500,map00071,3.0
Lachnospiraceae bacterium oral taxon 500,map00220,5.0
Lachnospiraceae bacterium oral taxon 500,map00230,27.33
Lachnospiraceae bacterium oral taxon 500,map00240,19.33
Lachnospiraceae bacterium oral taxon 500,map00250,7.67
Lachnospiraceae bacterium oral taxon 500,map00260,9.67
Lachnospiraceae bacterium oral taxon 500,map00261,2.67
Lachnospiraceae bacterium oral taxon 500,map00270,12.33
Lachnospiraceae bacterium oral taxon 500,map00280,3.0
Lachnospiraceae bacterium oral taxon 500,map00281,1.0
Lachnospiraceae bacterium oral taxon 500,map00300,7.0
Lachnospiraceae bacterium oral taxon 500,map00310,2.0
Lachnospiraceae bacterium oral taxon 500,map00330,3.67
Lachnospiraceae bacterium oral taxon 500,map00350,2.67
Lachnospiraceae bacterium oral taxon 500,map00360,4.67
Lachnospiraceae bacterium oral taxon 500,map00362,3.67
Lachnospiraceae bacterium oral taxon 500,map00380,3.0
Lachnospiraceae bacterium oral taxon 500,map00400,2.0
Lachnospiraceae bacterium oral taxon 500,map00401,0.67
Lachnospiraceae bacterium oral taxon 500,map00410,1.0
Lachnospiraceae bacterium oral taxon 500,map00430,1.0
Lachnospiraceae bacterium oral taxon 500,map00450,2.33
Lachnospiraceae bacterium oral taxon 500,map00460,1.33
Lachnospiraceae bacterium oral taxon 500,map00480,2.33
Lachnospiraceae bacterium oral taxon 500,map00500,17.0
Lachnospiraceae bacterium oral taxon 500,map00511,5.0
Lachnospiraceae bacterium oral taxon 500,map00513,1.0
Lachnospiraceae bacterium oral taxon 500,map00520,23.67
Lachnospiraceae bacterium oral taxon 500,map00521,5.33
Lachnospiraceae bacterium oral taxon 500,map00523,5.0
Lachnospiraceae bacterium oral taxon 500,map00524,1.0
Lachnospiraceae bacterium oral taxon 500,map00525,2.0
Lachnospiraceae bacterium oral taxon 500,map00531,3.0
Lachnospiraceae bacterium oral taxon 500,map00541,10.0
Lachnospiraceae bacterium oral taxon 500,map00550,8.0
Lachnospiraceae bacterium oral taxon 500,map00561,8.0
Lachnospiraceae bacterium oral taxon 500,map00562,1.0
Lachnospiraceae bacterium oral taxon 500,map00564,4.67
Lachnospiraceae bacterium oral taxon 500,map00572,1.0
Lachnospiraceae bacterium oral taxon 500,map00590,0.67
Lachnospiraceae bacterium oral taxon 500,map00592,2.0
Lachnospiraceae bacterium oral taxon 500,map00600,3.0
Lachnospiraceae bacterium oral taxon 500,map00603,2.0
Lachnospiraceae bacterium oral taxon 500,map00604,2.0
Lachnospiraceae bacterium oral taxon 500,map00620,13.0
Lachnospiraceae bacterium oral taxon 500,map00621,1.0
Lachnospiraceae bacterium oral taxon 500,map00622,1.0
Lachnospiraceae bacterium oral taxon 500,map00625,1.0
Lachnospiraceae bacterium oral taxon 500,map00626,1.0
Lachnospiraceae bacterium oral taxon 500,map00627,2.0
Lachnospiraceae bacterium oral taxon 500,map00630,5.0
Lachnospiraceae bacterium oral taxon 500,map00633,0.67
Lachnospiraceae bacterium oral taxon 500,map00640,5.67
Lachnospiraceae bacterium oral taxon 500,map00643,1.0
Lachnospiraceae bacterium oral taxon 500,map00650,6.33
Lachnospiraceae bacterium oral taxon 500,map00670,5.33
Lachnospiraceae bacterium oral taxon 500,map00730,3.67
Lachnospiraceae bacterium oral taxon 500,map00740,2.33
Lachnospiraceae bacterium oral taxon 500,map00750,0.67
Lachnospiraceae bacterium oral taxon 500,map00760,7.0
Lachnospiraceae bacterium oral taxon 500,map00770,3.67
Lachnospiraceae bacterium oral taxon 500,map00780,0.67
Lachnospiraceae bacterium oral taxon 500,map00785,1.0
Lachnospiraceae bacterium oral taxon 500,map00790,0.67
Lachnospiraceae bacterium oral taxon 500,map00830,1.0
Lachnospiraceae bacterium oral taxon 500,map00860,3.33
Lachnospiraceae bacterium oral taxon 500,map00900,4.33
Lachnospiraceae bacterium oral taxon 500,map00903,1.0
Lachnospiraceae bacterium oral taxon 500,map00906,4.0
Lachnospiraceae bacterium oral taxon 500,map00908,0.33
Lachnospiraceae bacterium oral taxon 500,map00930,1.0
Lachnospiraceae bacterium oral taxon 500,map00944,1.0
Lachnospiraceae bacterium oral taxon 500,map00950,0.67
Lachnospiraceae bacterium oral taxon 500,map00960,0.67
Lachnospiraceae bacterium oral taxon 500,map00980,1.0
Lachnospiraceae bacterium oral taxon 500,map00982,1.0
Lachnospiraceae bacterium oral taxon 500,map00983,7.67
Lachnospiraceae bacterium oral taxon 500,map01051,0.33
Lachnospiraceae bacterium oral taxon 500,map01055,2.0
