Bacterium,Pathway,Value
Adlercreutzia equolifaciens,map00561,2.91
Adlercreutzia equolifaciens,map00562,0.02
Adlercreutzia equolifaciens,map00564,2.09
Adlercreutzia equolifaciens,map00572,0.2
Adlercreutzia equolifaciens,map00603,0.42
Adlercreutzia equolifaciens,map00604,0.42
Adlercreutzia equolifaciens,map00620,6.06
Adlercreutzia equolifaciens,map00625,0.48
Adlercreutzia equolifaciens,map00627,0.93
Adlercreutzia equolifaciens,map00630,3.78
Adlercreutzia equolifaciens,map00633,1.21
Adlercreutzia equolifaciens,map00640,2.48
Adlercreutzia equolifaciens,map00643,0.93
Adlercreutzia equolifaciens,map00650,1.75
Adlercreutzia equolifaciens,map00660,0.57
Adlercreutzia equolifaciens,map00670,2.13
Adlercreutzia equolifaciens,map00730,2.38
Adlercreutzia equolifaciens,map00740,2.85
Adlercreutzia equolifaciens,map00750,0.91
Adlercreutzia equolifaciens,map00760,0.57
Adlercreutzia equolifaciens,map00770,4.26
Adlercreutzia equolifaciens,map00780,1.62
Adlercreutzia equolifaciens,map00790,6.75
Adlercreutzia equolifaciens,map00791,0.99
Adlercreutzia equolifaciens,map00860,5.2
Adlercreutzia equolifaciens,map00900,0.79
Adlercreutzia equolifaciens,map00903,0.48
Adlercreutzia equolifaciens,map00908,0.01
Adlercreutzia equolifaciens,map00950,0.06
Adlercreutzia equolifaciens,map00960,0.18
Adlercreutzia equolifaciens,map00966,0.03
Adlercreutzia equolifaciens,map00981,0.48
Adlercreutzia equolifaciens,map00983,0.96
Adlercreutzia equolifaciens,map00984,1.0
Adlercreutzia equolifaciens,map01051,0.01
Adlercreutzia equolifaciens,map01053,3.93
Adlercreutzia equolifaciens,map01055,0.13
Bifidobacterium actinocoloniiforme,map00010,1.9
Bifidobacterium actinocoloniiforme,map00020,1.32
Bifidobacterium actinocoloniiforme,map00030,4.2
Bifidobacterium actinocoloniiforme,map00040,4.42
Bifidobacterium actinocoloniiforme,map00051,2.46
Bifidobacterium actinocoloniiforme,map00052,2.7
Bifidobacterium actinocoloniiforme,map00053,3.04
Bifidobacterium actinocoloniiforme,map00061,0.34
Bifidobacterium actinocoloniiforme,map00062,0.98
Bifidobacterium actinocoloniiforme,map00071,1.43
Bifidobacterium actinocoloniiforme,map00130,0.73
Bifidobacterium actinocoloniiforme,map00140,0.98
Bifidobacterium actinocoloniiforme,map00220,0.06
Bifidobacterium actinocoloniiforme,map00230,3.38
Bifidobacterium actinocoloniiforme,map00240,1.48
Bifidobacterium actinocoloniiforme,map00250,1.53
Bifidobacterium actinocoloniiforme,map00260,2.63
Bifidobacterium actinocoloniiforme,map00270,0.88
Bifidobacterium actinocoloniiforme,map00280,1.94
Bifidobacterium actinocoloniiforme,map00281,0.98
Bifidobacterium actinocoloniiforme,map00290,0.19
Bifidobacterium actinocoloniiforme,map00300,0.26
Bifidobacterium actinocoloniiforme,map00310,1.3
Bifidobacterium actinocoloniiforme,map00330,0.78
Bifidobacterium actinocoloniiforme,map00332,0.22
Bifidobacterium actinocoloniiforme,map00340,0.42
Bifidobacterium actinocoloniiforme,map00350,0.11
Bifidobacterium actinocoloniiforme,map00360,0.52
Bifidobacterium actinocoloniiforme,map00361,0.39
Bifidobacterium actinocoloniiforme,map00362,2.01
Bifidobacterium actinocoloniiforme,map00380,2.23
Bifidobacterium actinocoloniiforme,map00400,0.32
Bifidobacterium actinocoloniiforme,map00405,0.26
Bifidobacterium actinocoloniiforme,map00430,0.05
Bifidobacterium actinocoloniiforme,map00440,1.94
Bifidobacterium actinocoloniiforme,map00450,0.85
Bifidobacterium actinocoloniiforme,map00460,0.64
Bifidobacterium actinocoloniiforme,map00480,1.84
Bifidobacterium actinocoloniiforme,map00500,1.34
Bifidobacterium actinocoloniiforme,map00510,0.8
Bifidobacterium actinocoloniiforme,map00511,1.6
Bifidobacterium actinocoloniiforme,map00514,0.82
Bifidobacterium actinocoloniiforme,map00515,0.82
Bifidobacterium actinocoloniiforme,map00520,4.72
Bifidobacterium actinocoloniiforme,map00521,1.48
Bifidobacterium actinocoloniiforme,map00523,0.13
Bifidobacterium actinocoloniiforme,map00525,0.13
Bifidobacterium actinocoloniiforme,map00531,0.3
Bifidobacterium actinocoloniiforme,map00541,1.38
Bifidobacterium actinocoloniiforme,map00550,0.31
Bifidobacterium actinocoloniiforme,map00561,2.55
Bifidobacterium actinocoloniiforme,map00562,1.35
Bifidobacterium actinocoloniiforme,map00564,1.07
Bifidobacterium actinocoloniiforme,map00571,1.69
Bifidobacterium actinocoloniiforme,map00572,0.81
Bifidobacterium actinocoloniiforme,map00592,0.11
Bifidobacterium actinocoloniiforme,map00600,1.27
Bifidobacterium actinocoloniiforme,map00603,0.33
Bifidobacterium actinocoloniiforme,map00604,0.3
Bifidobacterium actinocoloniiforme,map00620,4.74
Bifidobacterium actinocoloniiforme,map00621,0.12
Bifidobacterium actinocoloniiforme,map00622,0.12
Bifidobacterium actinocoloniiforme,map00623,0.98
Bifidobacterium actinocoloniiforme,map00625,0.5
Bifidobacterium actinocoloniiforme,map00626,0.11
Bifidobacterium actinocoloniiforme,map00630,2.36
Bifidobacterium actinocoloniiforme,map00640,1.16
Bifidobacterium actinocoloniiforme,map00650,4.36
Bifidobacterium actinocoloniiforme,map00660,0.16
Bifidobacterium actinocoloniiforme,map00670,0.86
Bifidobacterium actinocoloniiforme,map00730,0.04
Bifidobacterium actinocoloniiforme,map00740,0.72
Bifidobacterium actinocoloniiforme,map00750,0.19
Bifidobacterium actinocoloniiforme,map00760,1.04
Bifidobacterium actinocoloniiforme,map00770,0.87
Bifidobacterium actinocoloniiforme,map00790,0.65
Bifidobacterium actinocoloniiforme,map00830,0.11
Bifidobacterium actinocoloniiforme,map00860,2.17
Bifidobacterium actinocoloniiforme,map00900,3.96
Bifidobacterium actinocoloniiforme,map00908,0.01
Bifidobacterium actinocoloniiforme,map00930,0.98
Bifidobacterium actinocoloniiforme,map00940,0.38
Bifidobacterium actinocoloniiforme,map00966,0.03
Bifidobacterium actinocoloniiforme,map00980,0.11
Bifidobacterium actinocoloniiforme,map00982,0.11
Bifidobacterium actinocoloniiforme,map00983,0.43
Bifidobacterium actinocoloniiforme,map01051,0.01
Bifidobacterium actinocoloniiforme,map01055,0.13
Bifidobacterium adolescentis 22L,map00010,1.9
Bifidobacterium adolescentis 22L,map00020,2.58
Bifidobacterium adolescentis 22L,map00030,4.45
Bifidobacterium adolescentis 22L,map00040,3.34
Bifidobacterium adolescentis 22L,map00051,2.52
Bifidobacterium adolescentis 22L,map00052,3.16
Bifidobacterium adolescentis 22L,map00053,0.89
Bifidobacterium adolescentis 22L,map00061,0.45
Bifidobacterium adolescentis 22L,map00071,0.45
Bifidobacterium adolescentis 22L,map00120,0.6
Bifidobacterium adolescentis 22L,map00121,0.6
Bifidobacterium adolescentis 22L,map00130,0.45
Bifidobacterium adolescentis 22L,map00220,2.01
Bifidobacterium adolescentis 22L,map00230,3.11
Bifidobacterium adolescentis 22L,map00240,1.8
Bifidobacterium adolescentis 22L,map00250,3.67
Bifidobacterium adolescentis 22L,map00254,0.11
Bifidobacterium adolescentis 22L,map00260,3.77
Bifidobacterium adolescentis 22L,map00261,0.13
Bifidobacterium adolescentis 22L,map00270,3.57
Bifidobacterium adolescentis 22L,map00280,0.96
Bifidobacterium adolescentis 22L,map00290,1.96
Bifidobacterium adolescentis 22L,map00300,1.38
Bifidobacterium adolescentis 22L,map00310,0.33
Bifidobacterium adolescentis 22L,map00330,0.3
Bifidobacterium adolescentis 22L,map00332,0.22
Bifidobacterium adolescentis 22L,map00340,1.09
Bifidobacterium adolescentis 22L,map00350,0.28
Bifidobacterium adolescentis 22L,map00360,0.3
Bifidobacterium adolescentis 22L,map00361,0.39
Bifidobacterium adolescentis 22L,map00362,0.63
Bifidobacterium adolescentis 22L,map00380,0.33
Bifidobacterium adolescentis 22L,map00400,1.82
Bifidobacterium adolescentis 22L,map00401,0.35
Bifidobacterium adolescentis 22L,map00405,0.26
Bifidobacterium adolescentis 22L,map00410,0.85
Bifidobacterium adolescentis 22L,map00430,0.9
Bifidobacterium adolescentis 22L,map00450,1.28
Bifidobacterium adolescentis 22L,map00460,1.06
Bifidobacterium adolescentis 22L,map00480,2.31
Bifidobacterium adolescentis 22L,map00500,7.12
Bifidobacterium adolescentis 22L,map00511,2.24
Bifidobacterium adolescentis 22L,map00513,0.42
Bifidobacterium adolescentis 22L,map00520,4.05
Bifidobacterium adolescentis 22L,map00521,2.29
Bifidobacterium adolescentis 22L,map00523,0.94
Bifidobacterium adolescentis 22L,map00525,0.34
Bifidobacterium adolescentis 22L,map00531,0.72
Bifidobacterium adolescentis 22L,map00541,2.04
Bifidobacterium adolescentis 22L,map00550,0.6
Bifidobacterium adolescentis 22L,map00561,1.38
Bifidobacterium adolescentis 22L,map00562,1.35
Bifidobacterium adolescentis 22L,map00564,0.62
Bifidobacterium adolescentis 22L,map00572,0.81
Bifidobacterium adolescentis 22L,map00592,0.11
Bifidobacterium adolescentis 22L,map00600,1.27
Bifidobacterium adolescentis 22L,map00603,0.74
Bifidobacterium adolescentis 22L,map00604,0.72
Bifidobacterium adolescentis 22L,map00620,2.38
Bifidobacterium adolescentis 22L,map00621,0.12
Bifidobacterium adolescentis 22L,map00622,0.12
Bifidobacterium adolescentis 22L,map00625,0.5
Bifidobacterium adolescentis 22L,map00626,0.11
Bifidobacterium adolescentis 22L,map00630,2.35
Bifidobacterium adolescentis 22L,map00640,2.42
Bifidobacterium adolescentis 22L,map00650,2.11
Bifidobacterium adolescentis 22L,map00660,1.16
Bifidobacterium adolescentis 22L,map00670,0.98
Bifidobacterium adolescentis 22L,map00730,3.04
Bifidobacterium adolescentis 22L,map00740,1.58
Bifidobacterium adolescentis 22L,map00750,1.53
Bifidobacterium adolescentis 22L,map00760,1.36
Bifidobacterium adolescentis 22L,map00770,1.5
Bifidobacterium adolescentis 22L,map00780,0.06
Bifidobacterium adolescentis 22L,map00785,0.38
Bifidobacterium adolescentis 22L,map00790,3.21
Bifidobacterium adolescentis 22L,map00830,0.11
Bifidobacterium adolescentis 22L,map00860,0.2
Bifidobacterium adolescentis 22L,map00900,0.79
Bifidobacterium adolescentis 22L,map00908,0.01
Bifidobacterium adolescentis 22L,map00940,0.38
Bifidobacterium adolescentis 22L,map00950,0.06
Bifidobacterium adolescentis 22L,map00960,0.18
Bifidobacterium adolescentis 22L,map00966,0.03
Bifidobacterium adolescentis 22L,map00980,0.11
Bifidobacterium adolescentis 22L,map00982,0.11
Bifidobacterium adolescentis 22L,map00983,0.2
Bifidobacterium adolescentis 22L,map01051,0.01
Bifidobacterium adolescentis 22L,map01055,0.13
Bifidobacterium adolescentis ATCC 15703,map00010,1.9
Bifidobacterium adolescentis ATCC 15703,map00020,2.58
Bifidobacterium adolescentis ATCC 15703,map00030,4.45
Bifidobacterium adolescentis ATCC 15703,map00040,2.76
Bifidobacterium adolescentis ATCC 15703,map00051,1.57
Bifidobacterium adolescentis ATCC 15703,map00052,3.16
Bifidobacterium adolescentis ATCC 15703,map00053,0.31
Bifidobacterium adolescentis ATCC 15703,map00061,0.68
Bifidobacterium adolescentis ATCC 15703,map00071,0.45
Bifidobacterium adolescentis ATCC 15703,map00120,0.6
Bifidobacterium adolescentis ATCC 15703,map00121,0.6
Bifidobacterium adolescentis ATCC 15703,map00130,0.45
Bifidobacterium adolescentis ATCC 15703,map00220,2.01
Bifidobacterium adolescentis ATCC 15703,map00230,4.06
Bifidobacterium adolescentis ATCC 15703,map00240,1.8
Bifidobacterium adolescentis ATCC 15703,map00250,2.82
Bifidobacterium adolescentis ATCC 15703,map00254,0.11
Bifidobacterium adolescentis ATCC 15703,map00260,3.77
Bifidobacterium adolescentis ATCC 15703,map00261,0.13
Bifidobacterium adolescentis ATCC 15703,map00270,3.57
Bifidobacterium adolescentis ATCC 15703,map00280,0.96
Bifidobacterium adolescentis ATCC 15703,map00290,1.96
Bifidobacterium adolescentis ATCC 15703,map00300,1.38
Bifidobacterium adolescentis ATCC 15703,map00310,0.33
Bifidobacterium adolescentis ATCC 15703,map00311,0.57
Bifidobacterium adolescentis ATCC 15703,map00330,0.3
Bifidobacterium adolescentis ATCC 15703,map00332,0.22
Bifidobacterium adolescentis ATCC 15703,map00340,1.09
Bifidobacterium adolescentis ATCC 15703,map00350,0.28
Bifidobacterium adolescentis ATCC 15703,map00360,0.3
Bifidobacterium adolescentis ATCC 15703,map00361,0.39
Bifidobacterium adolescentis ATCC 15703,map00362,0.63
Bifidobacterium adolescentis ATCC 15703,map00380,0.33
Bifidobacterium adolescentis ATCC 15703,map00400,1.82
Bifidobacterium adolescentis ATCC 15703,map00401,0.35
Bifidobacterium adolescentis ATCC 15703,map00405,0.26
Bifidobacterium adolescentis ATCC 15703,map00430,0.05
Bifidobacterium adolescentis ATCC 15703,map00450,1.28
Bifidobacterium adolescentis ATCC 15703,map00460,1.06
Bifidobacterium adolescentis ATCC 15703,map00480,2.31
Bifidobacterium adolescentis ATCC 15703,map00500,6.3
Bifidobacterium adolescentis ATCC 15703,map00511,2.08
Bifidobacterium adolescentis ATCC 15703,map00513,0.42
Bifidobacterium adolescentis ATCC 15703,map00520,4.0
Bifidobacterium adolescentis ATCC 15703,map00521,2.29
Bifidobacterium adolescentis ATCC 15703,map00523,0.94
Bifidobacterium adolescentis ATCC 15703,map00525,0.34
Bifidobacterium adolescentis ATCC 15703,map00531,0.72
Bifidobacterium adolescentis ATCC 15703,map00541,1.45
Bifidobacterium adolescentis ATCC 15703,map00550,0.6
Bifidobacterium adolescentis ATCC 15703,map00561,1.38
Bifidobacterium adolescentis ATCC 15703,map00562,1.35
Bifidobacterium adolescentis ATCC 15703,map00564,0.62
Bifidobacterium adolescentis ATCC 15703,map00572,0.81
Bifidobacterium adolescentis ATCC 15703,map00592,0.11
Bifidobacterium adolescentis ATCC 15703,map00600,1.27
Bifidobacterium adolescentis ATCC 15703,map00603,0.74
Bifidobacterium adolescentis ATCC 15703,map00604,0.72
Bifidobacterium adolescentis ATCC 15703,map00620,2.38
Bifidobacterium adolescentis ATCC 15703,map00621,0.12
Bifidobacterium adolescentis ATCC 15703,map00622,0.12
Bifidobacterium adolescentis ATCC 15703,map00625,0.5
Bifidobacterium adolescentis ATCC 15703,map00626,0.11
Bifidobacterium adolescentis ATCC 15703,map00630,2.35
Bifidobacterium adolescentis ATCC 15703,map00640,2.42
Bifidobacterium adolescentis ATCC 15703,map00650,1.26
Bifidobacterium adolescentis ATCC 15703,map00660,1.16
Bifidobacterium adolescentis ATCC 15703,map00670,0.98
Bifidobacterium adolescentis ATCC 15703,map00730,3.04
Bifidobacterium adolescentis ATCC 15703,map00740,0.91
Bifidobacterium adolescentis ATCC 15703,map00750,1.53
Bifidobacterium adolescentis ATCC 15703,map00760,1.36
Bifidobacterium adolescentis ATCC 15703,map00770,1.45
Bifidobacterium adolescentis ATCC 15703,map00780,0.28
Bifidobacterium adolescentis ATCC 15703,map00785,0.38
Bifidobacterium adolescentis ATCC 15703,map00790,3.21
Bifidobacterium adolescentis ATCC 15703,map00830,0.11
Bifidobacterium adolescentis ATCC 15703,map00860,0.71
Bifidobacterium adolescentis ATCC 15703,map00900,0.79
Bifidobacterium adolescentis ATCC 15703,map00908,0.01
Bifidobacterium adolescentis ATCC 15703,map00940,0.38
Bifidobacterium adolescentis ATCC 15703,map00950,0.06
Bifidobacterium adolescentis ATCC 15703,map00960,0.18
Bifidobacterium adolescentis ATCC 15703,map00966,0.03
Bifidobacterium adolescentis ATCC 15703,map00980,0.11
Bifidobacterium adolescentis ATCC 15703,map00982,0.11
Bifidobacterium adolescentis ATCC 15703,map00983,0.2
Bifidobacterium adolescentis ATCC 15703,map01051,0.01
Bifidobacterium adolescentis ATCC 15703,map01055,0.13
Bifidobacterium adolescentis BBMN23,map00010,1.9
Bifidobacterium adolescentis BBMN23,map00020,2.58
Bifidobacterium adolescentis BBMN23,map00030,4.45
Bifidobacterium adolescentis BBMN23,map00040,3.34
Bifidobacterium adolescentis BBMN23,map00051,1.79
Bifidobacterium adolescentis BBMN23,map00052,2.83
Bifidobacterium adolescentis BBMN23,map00053,0.89
Bifidobacterium adolescentis BBMN23,map00061,0.68
Bifidobacterium adolescentis BBMN23,map00071,0.45
Bifidobacterium adolescentis BBMN23,map00120,0.6
Bifidobacterium adolescentis BBMN23,map00121,0.6
Bifidobacterium adolescentis BBMN23,map00130,0.45
Bifidobacterium adolescentis BBMN23,map00220,2.01
Bifidobacterium adolescentis BBMN23,map00230,4.07
Bifidobacterium adolescentis BBMN23,map00240,1.8
Bifidobacterium adolescentis BBMN23,map00250,3.67
Bifidobacterium adolescentis BBMN23,map00254,0.11
Bifidobacterium adolescentis BBMN23,map00260,3.77
Bifidobacterium adolescentis BBMN23,map00261,0.13
Bifidobacterium adolescentis BBMN23,map00270,4.48
Bifidobacterium adolescentis BBMN23,map00280,0.96
Bifidobacterium adolescentis BBMN23,map00290,1.96
Bifidobacterium adolescentis BBMN23,map00300,1.38
Bifidobacterium adolescentis BBMN23,map00310,0.33
Bifidobacterium adolescentis BBMN23,map00330,0.3
Bifidobacterium adolescentis BBMN23,map00332,0.22
Bifidobacterium adolescentis BBMN23,map00340,1.09
Bifidobacterium adolescentis BBMN23,map00350,0.28
Bifidobacterium adolescentis BBMN23,map00360,0.3
Bifidobacterium adolescentis BBMN23,map00361,0.39
Bifidobacterium adolescentis BBMN23,map00362,0.63
Bifidobacterium adolescentis BBMN23,map00380,0.33
Bifidobacterium adolescentis BBMN23,map00400,1.82
Bifidobacterium adolescentis BBMN23,map00401,0.35
Bifidobacterium adolescentis BBMN23,map00405,0.26
Bifidobacterium adolescentis BBMN23,map00410,0.85
Bifidobacterium adolescentis BBMN23,map00430,0.9
Bifidobacterium adolescentis BBMN23,map00450,1.28
Bifidobacterium adolescentis BBMN23,map00460,1.06
Bifidobacterium adolescentis BBMN23,map00480,3.13
Bifidobacterium adolescentis BBMN23,map00500,7.12
Bifidobacterium adolescentis BBMN23,map00511,2.08
Bifidobacterium adolescentis BBMN23,map00513,0.42
Bifidobacterium adolescentis BBMN23,map00520,3.72
Bifidobacterium adolescentis BBMN23,map00521,2.29
Bifidobacterium adolescentis BBMN23,map00523,0.94
Bifidobacterium adolescentis BBMN23,map00525,0.34
Bifidobacterium adolescentis BBMN23,map00531,0.72
Bifidobacterium adolescentis BBMN23,map00541,2.04
Bifidobacterium adolescentis BBMN23,map00550,0.6
Bifidobacterium adolescentis BBMN23,map00561,1.83
Bifidobacterium adolescentis BBMN23,map00562,1.35
Bifidobacterium adolescentis BBMN23,map00564,1.07
Bifidobacterium adolescentis BBMN23,map00572,0.81
Bifidobacterium adolescentis BBMN23,map00592,0.11
Bifidobacterium adolescentis BBMN23,map00600,1.27
Bifidobacterium adolescentis BBMN23,map00603,0.74
Bifidobacterium adolescentis BBMN23,map00604,0.72
Bifidobacterium adolescentis BBMN23,map00620,2.38
Bifidobacterium adolescentis BBMN23,map00621,0.12
Bifidobacterium adolescentis BBMN23,map00622,0.12
Bifidobacterium adolescentis BBMN23,map00625,0.5
Bifidobacterium adolescentis BBMN23,map00626,0.11
Bifidobacterium adolescentis BBMN23,map00630,2.35
Bifidobacterium adolescentis BBMN23,map00640,2.42
Bifidobacterium adolescentis BBMN23,map00650,2.11
Bifidobacterium adolescentis BBMN23,map00660,1.16
Bifidobacterium adolescentis BBMN23,map00670,0.98
Bifidobacterium adolescentis BBMN23,map00730,3.04
Bifidobacterium adolescentis BBMN23,map00740,1.58
Bifidobacterium adolescentis BBMN23,map00750,1.53
Bifidobacterium adolescentis BBMN23,map00760,1.82
Bifidobacterium adolescentis BBMN23,map00770,1.5
Bifidobacterium adolescentis BBMN23,map00780,0.28
Bifidobacterium adolescentis BBMN23,map00785,0.38
Bifidobacterium adolescentis BBMN23,map00790,3.21
Bifidobacterium adolescentis BBMN23,map00830,0.11
Bifidobacterium adolescentis BBMN23,map00860,0.2
Bifidobacterium adolescentis BBMN23,map00900,0.79
Bifidobacterium adolescentis BBMN23,map00908,0.01
Bifidobacterium adolescentis BBMN23,map00940,0.38
Bifidobacterium adolescentis BBMN23,map00950,0.06
Bifidobacterium adolescentis BBMN23,map00960,0.18
Bifidobacterium adolescentis BBMN23,map00966,0.03
Bifidobacterium adolescentis BBMN23,map00980,0.11
Bifidobacterium adolescentis BBMN23,map00982,0.11
Bifidobacterium adolescentis BBMN23,map00983,0.2
Bifidobacterium adolescentis BBMN23,map01051,0.01
Bifidobacterium adolescentis BBMN23,map01055,0.13
Bifidobacterium angulatum,map00010,1.9
Bifidobacterium angulatum,map00020,2.58
Bifidobacterium angulatum,map00030,5.94
Bifidobacterium angulatum,map00040,1.87
Bifidobacterium angulatum,map00051,0.84
Bifidobacterium angulatum,map00052,2.83
Bifidobacterium angulatum,map00053,0.31
Bifidobacterium angulatum,map00061,0.68
Bifidobacterium angulatum,map00071,0.45
Bifidobacterium angulatum,map00130,0.45
Bifidobacterium angulatum,map00220,2.01
Bifidobacterium angulatum,map00230,3.66
Bifidobacterium angulatum,map00240,1.8
Bifidobacterium angulatum,map00250,4.48
Bifidobacterium angulatum,map00254,0.11
Bifidobacterium angulatum,map00260,3.39
Bifidobacterium angulatum,map00261,0.13
Bifidobacterium angulatum,map00270,4.63
Bifidobacterium angulatum,map00280,0.96
Bifidobacterium angulatum,map00290,1.96
Bifidobacterium angulatum,map00300,1.09
Bifidobacterium angulatum,map00310,0.33
Bifidobacterium angulatum,map00330,0.3
Bifidobacterium angulatum,map00332,0.22
Bifidobacterium angulatum,map00340,1.09
Bifidobacterium angulatum,map00350,0.28
Bifidobacterium angulatum,map00360,0.3
Bifidobacterium angulatum,map00361,0.39
Bifidobacterium angulatum,map00362,0.63
Bifidobacterium angulatum,map00380,0.33
Bifidobacterium angulatum,map00400,1.82
Bifidobacterium angulatum,map00401,0.35
Bifidobacterium angulatum,map00405,0.26
Bifidobacterium angulatum,map00410,0.85
Bifidobacterium angulatum,map00430,0.9
Bifidobacterium angulatum,map00450,1.28
Bifidobacterium angulatum,map00460,0.79
Bifidobacterium angulatum,map00480,2.31
Bifidobacterium angulatum,map00500,4.93
Bifidobacterium angulatum,map00511,0.72
Bifidobacterium angulatum,map00513,0.42
Bifidobacterium angulatum,map00520,3.14
Bifidobacterium angulatum,map00521,0.68
Bifidobacterium angulatum,map00523,0.13
Bifidobacterium angulatum,map00525,0.13
Bifidobacterium angulatum,map00531,0.72
Bifidobacterium angulatum,map00541,0.64
Bifidobacterium angulatum,map00550,0.31
Bifidobacterium angulatum,map00561,1.83
Bifidobacterium angulatum,map00562,0.55
Bifidobacterium angulatum,map00564,1.07
Bifidobacterium angulatum,map00572,1.62
Bifidobacterium angulatum,map00592,0.11
Bifidobacterium angulatum,map00600,0.63
Bifidobacterium angulatum,map00603,0.74
Bifidobacterium angulatum,map00604,0.72
Bifidobacterium angulatum,map00620,2.93
Bifidobacterium angulatum,map00621,0.12
Bifidobacterium angulatum,map00622,0.12
Bifidobacterium angulatum,map00625,0.5
Bifidobacterium angulatum,map00626,0.11
Bifidobacterium angulatum,map00627,0.55
Bifidobacterium angulatum,map00630,2.09
Bifidobacterium angulatum,map00640,2.42
Bifidobacterium angulatum,map00650,2.11
Bifidobacterium angulatum,map00660,1.16
Bifidobacterium angulatum,map00670,0.63
Bifidobacterium angulatum,map00730,3.05
Bifidobacterium angulatum,map00740,0.72
Bifidobacterium angulatum,map00750,1.53
Bifidobacterium angulatum,map00760,2.84
Bifidobacterium angulatum,map00770,1.87
Bifidobacterium angulatum,map00780,0.28
Bifidobacterium angulatum,map00785,0.38
Bifidobacterium angulatum,map00790,2.48
Bifidobacterium angulatum,map00830,0.11
Bifidobacterium angulatum,map00860,0.2
Bifidobacterium angulatum,map00900,0.79
Bifidobacterium angulatum,map00908,0.01
Bifidobacterium angulatum,map00940,0.38
Bifidobacterium angulatum,map00950,0.06
Bifidobacterium angulatum,map00960,0.18
Bifidobacterium angulatum,map00966,0.03
Bifidobacterium angulatum,map00980,0.11
Bifidobacterium angulatum,map00982,0.11
Bifidobacterium angulatum,map00983,0.2
Bifidobacterium angulatum,map01051,0.01
Bifidobacterium angulatum,map01055,0.13
Bifidobacterium animalis RH,map00010,1.9
Bifidobacterium animalis RH,map00020,2.58
Bifidobacterium animalis RH,map00030,3.4
Bifidobacterium animalis RH,map00040,1.89
Bifidobacterium animalis RH,map00051,1.75
Bifidobacterium animalis RH,map00052,2.83
Bifidobacterium animalis RH,map00053,1.73
Bifidobacterium animalis RH,map00061,0.45
Bifidobacterium animalis RH,map00071,0.45
Bifidobacterium animalis RH,map00120,0.6
Bifidobacterium animalis RH,map00121,0.6
Bifidobacterium animalis RH,map00130,0.45
Bifidobacterium animalis RH,map00220,2.01
Bifidobacterium animalis RH,map00230,3.96
Bifidobacterium animalis RH,map00240,2.3
Bifidobacterium animalis RH,map00250,1.56
Bifidobacterium animalis RH,map00254,0.11
Bifidobacterium animalis RH,map00260,3.24
Bifidobacterium animalis RH,map00261,0.13
Bifidobacterium animalis RH,map00270,4.3
Bifidobacterium animalis RH,map00280,0.96
Bifidobacterium animalis RH,map00290,1.96
Bifidobacterium animalis RH,map00300,1.09
Bifidobacterium animalis RH,map00310,0.33
Bifidobacterium animalis RH,map00330,0.84
Bifidobacterium animalis RH,map00332,0.22
Bifidobacterium animalis RH,map00340,2.0
Bifidobacterium animalis RH,map00350,0.28
Bifidobacterium animalis RH,map00360,0.3
Bifidobacterium animalis RH,map00361,0.39
Bifidobacterium animalis RH,map00362,0.63
