Bacterium,Pathway,Value
Adlercreutzia equolifaciens,map00670,5.0
Adlercreutzia equolifaciens,map00730,6.6
Adlercreutzia equolifaciens,map00740,6.8
Adlercreutzia equolifaciens,map00750,2.2
Adlercreutzia equolifaciens,map00760,2.0
Adlercreutzia equolifaciens,map00770,10.4
Adlercreutzia equolifaciens,map00780,3.6
Adlercreutzia equolifaciens,map00790,11.8
Adlercreutzia equolifaciens,map00791,1.0
Adlercreutzia equolifaciens,map00860,6.2
Adlercreutzia equolifaciens,map00900,7.0
Adlercreutzia equolifaciens,map00903,0.8
Adlercreutzia equolifaciens,map00908,0.2
Adlercreutzia equolifaciens,map00950,0.4
Adlercreutzia equolifaciens,map00960,1.0
Adlercreutzia equolifaciens,map00966,0.6
Adlercreutzia equolifaciens,map00981,0.8
Adlercreutzia equolifaciens,map00983,2.6
Adlercreutzia equolifaciens,map00984,1.0
Adlercreutzia equolifaciens,map01051,0.2
Adlercreutzia equolifaciens,map01053,4.0
Adlercreutzia equolifaciens,map01055,0.4
Bifidobacterium pseudolongum,map00010,7.2
Bifidobacterium pseudolongum,map00020,4.0
Bifidobacterium pseudolongum,map00030,6.2
Bifidobacterium pseudolongum,map00040,4.8
Bifidobacterium pseudolongum,map00051,3.4
Bifidobacterium pseudolongum,map00052,6.8
Bifidobacterium pseudolongum,map00053,1.6
Bifidobacterium pseudolongum,map00061,1.4
Bifidobacterium pseudolongum,map00071,1.4
Bifidobacterium pseudolongum,map00120,1.0
Bifidobacterium pseudolongum,map00121,1.0
Bifidobacterium pseudolongum,map00130,0.8
Bifidobacterium pseudolongum,map00220,6.4
Bifidobacterium pseudolongum,map00230,14.6
Bifidobacterium pseudolongum,map00240,6.0
Bifidobacterium pseudolongum,map00250,7.0
Bifidobacterium pseudolongum,map00254,0.6
Bifidobacterium pseudolongum,map00260,10.6
Bifidobacterium pseudolongum,map00261,1.6
Bifidobacterium pseudolongum,map00270,12.0
Bifidobacterium pseudolongum,map00280,2.4
Bifidobacterium pseudolongum,map00290,6.6
Bifidobacterium pseudolongum,map00300,5.4
Bifidobacterium pseudolongum,map00310,0.8
Bifidobacterium pseudolongum,map00330,2.6
Bifidobacterium pseudolongum,map00332,1.0
Bifidobacterium pseudolongum,map00340,5.0
Bifidobacterium pseudolongum,map00350,1.6
Bifidobacterium pseudolongum,map00360,1.6
Bifidobacterium pseudolongum,map00361,1.0
Bifidobacterium pseudolongum,map00362,1.2
Bifidobacterium pseudolongum,map00380,0.8
Bifidobacterium pseudolongum,map00400,9.8
Bifidobacterium pseudolongum,map00401,1.6
Bifidobacterium pseudolongum,map00405,0.8
Bifidobacterium pseudolongum,map00430,0.6
Bifidobacterium pseudolongum,map00450,3.4
Bifidobacterium pseudolongum,map00460,0.6
Bifidobacterium pseudolongum,map00480,3.2
Bifidobacterium pseudolongum,map00500,10.6
Bifidobacterium pseudolongum,map00510,1.0
Bifidobacterium pseudolongum,map00511,3.0
Bifidobacterium pseudolongum,map00513,0.6
Bifidobacterium pseudolongum,map00514,1.0
Bifidobacterium pseudolongum,map00515,1.0
Bifidobacterium pseudolongum,map00520,11.6
Bifidobacterium pseudolongum,map00521,4.8
Bifidobacterium pseudolongum,map00523,2.4
Bifidobacterium pseudolongum,map00525,1.0
Bifidobacterium pseudolongum,map00531,1.2
Bifidobacterium pseudolongum,map00541,6.6
Bifidobacterium pseudolongum,map00550,3.0
Bifidobacterium pseudolongum,map00561,4.2
Bifidobacterium pseudolongum,map00562,2.0
Bifidobacterium pseudolongum,map00564,2.8
Bifidobacterium pseudolongum,map00571,2.0
Bifidobacterium pseudolongum,map00572,2.6
Bifidobacterium pseudolongum,map00592,0.6
Bifidobacterium pseudolongum,map00600,2.0
Bifidobacterium pseudolongum,map00603,1.2
Bifidobacterium pseudolongum,map00604,1.2
Bifidobacterium pseudolongum,map00620,7.6
Bifidobacterium pseudolongum,map00621,0.6
Bifidobacterium pseudolongum,map00622,0.6
Bifidobacterium pseudolongum,map00625,1.6
Bifidobacterium pseudolongum,map00626,0.6
Bifidobacterium pseudolongum,map00630,5.0
Bifidobacterium pseudolongum,map00640,6.0
Bifidobacterium pseudolongum,map00650,2.8
Bifidobacterium pseudolongum,map00660,2.6
Bifidobacterium pseudolongum,map00670,3.4
Bifidobacterium pseudolongum,map00730,4.8
Bifidobacterium pseudolongum,map00740,1.8
Bifidobacterium pseudolongum,map00750,3.2
Bifidobacterium pseudolongum,map00760,5.6
Bifidobacterium pseudolongum,map00770,4.4
Bifidobacterium pseudolongum,map00780,0.6
Bifidobacterium pseudolongum,map00785,0.8
Bifidobacterium pseudolongum,map00790,4.6
Bifidobacterium pseudolongum,map00830,0.6
Bifidobacterium pseudolongum,map00860,1.6
Bifidobacterium pseudolongum,map00900,6.2
Bifidobacterium pseudolongum,map00908,0.2
Bifidobacterium pseudolongum,map00940,0.6
Bifidobacterium pseudolongum,map00950,0.4
Bifidobacterium pseudolongum,map00960,1.0
Bifidobacterium pseudolongum,map00966,0.6
Bifidobacterium pseudolongum,map00980,0.6
Bifidobacterium pseudolongum,map00982,0.6
Bifidobacterium pseudolongum,map00983,2.2
Bifidobacterium pseudolongum,map01051,0.2
Bifidobacterium pseudolongum,map01055,0.4
Candidatus Saccharimonas aalborgensis,map00010,2.6
Candidatus Saccharimonas aalborgensis,map00020,0.8
Candidatus Saccharimonas aalborgensis,map00030,5.0
Candidatus Saccharimonas aalborgensis,map00040,0.8
Candidatus Saccharimonas aalborgensis,map00051,2.0
Candidatus Saccharimonas aalborgensis,map00052,1.0
Candidatus Saccharimonas aalborgensis,map00220,2.2
Candidatus Saccharimonas aalborgensis,map00230,4.6
Candidatus Saccharimonas aalborgensis,map00240,7.0
Candidatus Saccharimonas aalborgensis,map00250,2.0
Candidatus Saccharimonas aalborgensis,map00260,0.4
Candidatus Saccharimonas aalborgensis,map00270,1.2
Candidatus Saccharimonas aalborgensis,map00300,0.8
Candidatus Saccharimonas aalborgensis,map00311,1.0
Candidatus Saccharimonas aalborgensis,map00330,0.4
Candidatus Saccharimonas aalborgensis,map00332,0.4
Candidatus Saccharimonas aalborgensis,map00340,1.0
Candidatus Saccharimonas aalborgensis,map00380,1.0
Candidatus Saccharimonas aalborgensis,map00400,1.0
Candidatus Saccharimonas aalborgensis,map00430,0.2
Candidatus Saccharimonas aalborgensis,map00450,0.4
Candidatus Saccharimonas aalborgensis,map00460,1.0
Candidatus Saccharimonas aalborgensis,map00480,4.4
Candidatus Saccharimonas aalborgensis,map00500,4.8
Candidatus Saccharimonas aalborgensis,map00520,5.4
Candidatus Saccharimonas aalborgensis,map00541,3.6
Candidatus Saccharimonas aalborgensis,map00550,6.4
Candidatus Saccharimonas aalborgensis,map00561,0.6
Candidatus Saccharimonas aalborgensis,map00562,0.2
Candidatus Saccharimonas aalborgensis,map00564,1.6
Candidatus Saccharimonas aalborgensis,map00590,0.8
Candidatus Saccharimonas aalborgensis,map00620,1.0
Candidatus Saccharimonas aalborgensis,map00630,1.4
Candidatus Saccharimonas aalborgensis,map00640,1.0
Candidatus Saccharimonas aalborgensis,map00660,0.8
Candidatus Saccharimonas aalborgensis,map00670,2.2
Candidatus Saccharimonas aalborgensis,map00730,0.4
Candidatus Saccharimonas aalborgensis,map00760,4.6
Candidatus Saccharimonas aalborgensis,map00790,0.4
Candidatus Saccharimonas aalborgensis,map00900,0.2
Candidatus Saccharimonas aalborgensis,map00908,0.2
Candidatus Saccharimonas aalborgensis,map00940,0.6
Candidatus Saccharimonas aalborgensis,map00983,2.8
Candidatus Saccharimonas aalborgensis,map01051,0.2
Candidatus Saccharimonas aalborgensis,map01053,1.0
Lachnospiraceae bacterium oral taxon 500,map00010,10.6
Lachnospiraceae bacterium oral taxon 500,map00020,4.8
Lachnospiraceae bacterium oral taxon 500,map00030,11.0
Lachnospiraceae bacterium oral taxon 500,map00040,12.0
Lachnospiraceae bacterium oral taxon 500,map00051,8.8
Lachnospiraceae bacterium oral taxon 500,map00052,8.0
Lachnospiraceae bacterium oral taxon 500,map00053,4.2
Lachnospiraceae bacterium oral taxon 500,map00061,1.4
Lachnospiraceae bacterium oral taxon 500,map00062,1.0
Lachnospiraceae bacterium oral taxon 500,map00071,2.4
Lachnospiraceae bacterium oral taxon 500,map00220,3.6
Lachnospiraceae bacterium oral taxon 500,map00230,19.0
Lachnospiraceae bacterium oral taxon 500,map00240,15.0
Lachnospiraceae bacterium oral taxon 500,map00250,5.0
Lachnospiraceae bacterium oral taxon 500,map00260,6.4
Lachnospiraceae bacterium oral taxon 500,map00261,1.6
Lachnospiraceae bacterium oral taxon 500,map00270,8.8
Lachnospiraceae bacterium oral taxon 500,map00280,2.4
Lachnospiraceae bacterium oral taxon 500,map00281,1.0
Lachnospiraceae bacterium oral taxon 500,map00300,4.8
Lachnospiraceae bacterium oral taxon 500,map00310,1.8
Lachnospiraceae bacterium oral taxon 500,map00330,2.8
Lachnospiraceae bacterium oral taxon 500,map00350,2.0
Lachnospiraceae bacterium oral taxon 500,map00360,3.8
Lachnospiraceae bacterium oral taxon 500,map00362,3.2
Lachnospiraceae bacterium oral taxon 500,map00380,2.6
Lachnospiraceae bacterium oral taxon 500,map00400,1.4
Lachnospiraceae bacterium oral taxon 500,map00401,0.4
Lachnospiraceae bacterium oral taxon 500,map00410,1.0
Lachnospiraceae bacterium oral taxon 500,map00430,0.6
Lachnospiraceae bacterium oral taxon 500,map00450,1.6
Lachnospiraceae bacterium oral taxon 500,map00460,1.2
Lachnospiraceae bacterium oral taxon 500,map00480,2.6
Lachnospiraceae bacterium oral taxon 500,map00500,13.2
Lachnospiraceae bacterium oral taxon 500,map00511,3.8
Lachnospiraceae bacterium oral taxon 500,map00513,0.6
Lachnospiraceae bacterium oral taxon 500,map00520,19.4
Lachnospiraceae bacterium oral taxon 500,map00521,3.8
Lachnospiraceae bacterium oral taxon 500,map00523,3.6
Lachnospiraceae bacterium oral taxon 500,map00524,0.8
Lachnospiraceae bacterium oral taxon 500,map00525,1.0
Lachnospiraceae bacterium oral taxon 500,map00531,2.2
Lachnospiraceae bacterium oral taxon 500,map00541,8.0
Lachnospiraceae bacterium oral taxon 500,map00550,6.2
Lachnospiraceae bacterium oral taxon 500,map00561,6.2
Lachnospiraceae bacterium oral taxon 500,map00562,1.0
Lachnospiraceae bacterium oral taxon 500,map00564,4.4
Lachnospiraceae bacterium oral taxon 500,map00572,0.6
Lachnospiraceae bacterium oral taxon 500,map00590,0.8
Lachnospiraceae bacterium oral taxon 500,map00592,1.6
Lachnospiraceae bacterium oral taxon 500,map00600,2.0
Lachnospiraceae bacterium oral taxon 500,map00603,1.2
Lachnospiraceae bacterium oral taxon 500,map00604,1.2
Lachnospiraceae bacterium oral taxon 500,map00620,9.4
Lachnospiraceae bacterium oral taxon 500,map00621,0.6
Lachnospiraceae bacterium oral taxon 500,map00622,0.6
Lachnospiraceae bacterium oral taxon 500,map00625,0.6
Lachnospiraceae bacterium oral taxon 500,map00626,0.6
Lachnospiraceae bacterium oral taxon 500,map00627,1.8
Lachnospiraceae bacterium oral taxon 500,map00630,3.4
Lachnospiraceae bacterium oral taxon 500,map00633,0.6
Lachnospiraceae bacterium oral taxon 500,map00640,4.4
Lachnospiraceae bacterium oral taxon 500,map00643,0.8
Lachnospiraceae bacterium oral taxon 500,map00650,4.8
Lachnospiraceae bacterium oral taxon 500,map00670,3.8
Lachnospiraceae bacterium oral taxon 500,map00730,2.0
Lachnospiraceae bacterium oral taxon 500,map00740,1.8
Lachnospiraceae bacterium oral taxon 500,map00750,0.4
Lachnospiraceae bacterium oral taxon 500,map00760,4.6
Lachnospiraceae bacterium oral taxon 500,map00770,2.6
Lachnospiraceae bacterium oral taxon 500,map00780,0.6
Lachnospiraceae bacterium oral taxon 500,map00785,0.8
Lachnospiraceae bacterium oral taxon 500,map00790,0.4
Lachnospiraceae bacterium oral taxon 500,map00830,0.6
Lachnospiraceae bacterium oral taxon 500,map00860,3.0
Lachnospiraceae bacterium oral taxon 500,map00900,4.2
Lachnospiraceae bacterium oral taxon 500,map00903,1.0
Lachnospiraceae bacterium oral taxon 500,map00906,4.0
Lachnospiraceae bacterium oral taxon 500,map00908,0.2
Lachnospiraceae bacterium oral taxon 500,map00930,1.0
Lachnospiraceae bacterium oral taxon 500,map00944,1.0
Lachnospiraceae bacterium oral taxon 500,map00950,0.4
Lachnospiraceae bacterium oral taxon 500,map00960,0.4
Lachnospiraceae bacterium oral taxon 500,map00980,0.6
Lachnospiraceae bacterium oral taxon 500,map00982,0.6
Lachnospiraceae bacterium oral taxon 500,map00983,5.6
Lachnospiraceae bacterium oral taxon 500,map01051,0.2
Lachnospiraceae bacterium oral taxon 500,map01055,1.4
Ruminococcus gnavus,map00010,14.2
Ruminococcus gnavus,map00020,5.6
Ruminococcus gnavus,map00030,9.2
Ruminococcus gnavus,map00040,13.4
Ruminococcus gnavus,map00051,11.4
Ruminococcus gnavus,map00052,9.6
Ruminococcus gnavus,map00053,6.0
Ruminococcus gnavus,map00061,5.2
Ruminococcus gnavus,map00071,1.4
Ruminococcus gnavus,map00220,6.0
Ruminococcus gnavus,map00230,17.2
Ruminococcus gnavus,map00240,11.4
Ruminococcus gnavus,map00250,8.2
Ruminococcus gnavus,map00254,0.6
Ruminococcus gnavus,map00260,9.0
Ruminococcus gnavus,map00261,2.6
Ruminococcus gnavus,map00270,12.0
Ruminococcus gnavus,map00280,2.0
Ruminococcus gnavus,map00290,5.6
Ruminococcus gnavus,map00300,6.2
Ruminococcus gnavus,map00310,1.8
Ruminococcus gnavus,map00311,1.0
Ruminococcus gnavus,map00330,8.4
Ruminococcus gnavus,map00332,1.0
Ruminococcus gnavus,map00340,6.6
Ruminococcus gnavus,map00350,2.6
Ruminococcus gnavus,map00360,3.6
Ruminococcus gnavus,map00362,0.6
Ruminococcus gnavus,map00380,2.8
Ruminococcus gnavus,map00400,11.0
Ruminococcus gnavus,map00401,1.6
Ruminococcus gnavus,map00405,0.8
Ruminococcus gnavus,map00410,1.8
Ruminococcus gnavus,map00430,0.6
Ruminococcus gnavus,map00450,4.6
Ruminococcus gnavus,map00460,2.6
Ruminococcus gnavus,map00480,2.8
Ruminococcus gnavus,map00500,11.8
Ruminococcus gnavus,map00511,2.4
Ruminococcus gnavus,map00520,20.0
Ruminococcus gnavus,map00521,3.8
Ruminococcus gnavus,map00523,2.4
Ruminococcus gnavus,map00524,0.8
Ruminococcus gnavus,map00525,1.0
Ruminococcus gnavus,map00531,0.6
Ruminococcus gnavus,map00541,9.6
Ruminococcus gnavus,map00550,4.4
Ruminococcus gnavus,map00561,10.8
Ruminococcus gnavus,map00562,1.2
Ruminococcus gnavus,map00564,8.2
Ruminococcus gnavus,map00565,1.0
Ruminococcus gnavus,map00592,0.6
Ruminococcus gnavus,map00600,2.2
Ruminococcus gnavus,map00603,0.6
Ruminococcus gnavus,map00604,0.6
Ruminococcus gnavus,map00620,13.2
Ruminococcus gnavus,map00621,0.6
Ruminococcus gnavus,map00622,1.6
Ruminococcus gnavus,map00625,1.4
Ruminococcus gnavus,map00626,0.6
Ruminococcus gnavus,map00627,1.0
Ruminococcus gnavus,map00630,4.2
Ruminococcus gnavus,map00633,1.6
Ruminococcus gnavus,map00640,7.8
Ruminococcus gnavus,map00650,4.4
Ruminococcus gnavus,map00660,1.8
Ruminococcus gnavus,map00670,5.0
Ruminococcus gnavus,map00730,6.6
Ruminococcus gnavus,map00740,0.8
Ruminococcus gnavus,map00750,2.2
Ruminococcus gnavus,map00760,8.2
Ruminococcus gnavus,map00770,7.2
Ruminococcus gnavus,map00780,3.6
Ruminococcus gnavus,map00790,4.2
Ruminococcus gnavus,map00830,0.6
Ruminococcus gnavus,map00860,32.4
Ruminococcus gnavus,map00900,7.0
Ruminococcus gnavus,map00901,1.0
Ruminococcus gnavus,map00903,0.8
Ruminococcus gnavus,map00908,0.2
Ruminococcus gnavus,map00930,1.0
Ruminococcus gnavus,map00940,0.6
Ruminococcus gnavus,map00950,1.4
Ruminococcus gnavus,map00960,1.0
Ruminococcus gnavus,map00965,1.0
Ruminococcus gnavus,map00966,0.6
Ruminococcus gnavus,map00980,0.6
Ruminococcus gnavus,map00981,0.8
Ruminococcus gnavus,map00982,0.6
Ruminococcus gnavus,map00983,5.4
Ruminococcus gnavus,map01051,0.2
Ruminococcus gnavus,map01055,1.4
